competition,season,match_id,kick_off,team,goals_scored,goals_conceded,competition_stage,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers
Spain - La Liga,2018/2019,16056,16:15:00.000,Barcelona,3,4,Regular Season,-1,0,0,2,-2,0,1,1,2,0,0
Spain - La Liga,2018/2019,16073,20:45:00.000,Barcelona,1,1,Regular Season,0,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2018/2019,16073,20:45:00.000,Atlético Madrid,1,1,Regular Season,0,0,0,0,0,0,0,0,1,0,0
Spain - La Liga,2018/2019,16079,18:30:00.000,Villarreal,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2018/2019,16079,18:30:00.000,Barcelona,2,0,Regular Season,2,1,1,0,1,0,0,1,0,1,0
Spain - La Liga,2018/2019,16086,20:45:00.000,Barcelona,4,0,Regular Season,4,1,3,0,3,0,0,0,4,0,0
Spain - La Liga,2018/2019,16086,20:45:00.000,Espanyol,0,4,Regular Season,-4,0,0,3,-3,0,0,0,0,0,0
Spain - La Liga,2018/2019,16095,20:45:00.000,Barcelona,5,0,Regular Season,5,1,2,0,2,0,0,3,1,1,0
Spain - La Liga,2018/2019,16095,20:45:00.000,Levante UD,0,5,Regular Season,-5,0,0,2,-2,0,0,0,0,0,0
Spain - La Liga,2018/2019,16109,18:30:00.000,Barcelona,2,0,Regular Season,2,1,2,0,2,0,0,0,2,0,0
Spain - La Liga,2018/2019,16109,18:30:00.000,Celta Vigo,0,2,Regular Season,-2,0,0,2,-2,0,0,0,0,0,0
Spain - La Liga,2018/2019,16120,20:45:00.000,Barcelona,2,1,Regular Season,1,1,2,1,1,0,0,0,2,0,0
Spain - La Liga,2018/2019,16120,20:45:00.000,Getafe,1,2,Regular Season,-1,0,1,2,-1,0,0,0,1,0,0
Spain - La Liga,2018/2019,16131,18:30:00.000,Barcelona,3,0,Regular Season,3,1,1,0,1,0,0,0,3,0,0
Spain - La Liga,2018/2019,16131,18:30:00.000,Eibar,0,3,Regular Season,-3,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2018/2019,16136,20:45:00.000,Leganés,1,3,Regular Season,-2,0,0,1,-1,0,0,0,1,0,0
Spain - La Liga,2018/2019,16136,20:45:00.000,Barcelona,3,1,Regular Season,2,1,1,0,1,0,1,1,2,0,0
Spain - La Liga,2018/2019,16149,16:15:00.000,Barcelona,2,0,Regular Season,2,1,1,0,1,0,0,0,1,1,0
Spain - La Liga,2018/2019,16149,16:15:00.000,Girona,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2018/2019,16157,18:30:00.000,Valencia,2,2,Regular Season,0,0,2,1,1,0,0,1,1,0,0
Spain - La Liga,2018/2019,16157,18:30:00.000,Barcelona,2,2,Regular Season,0,0,1,2,-1,0,0,0,2,0,0
